ID,Title,Episodes,Synopsis,Score,Day_aired,Duration,Genres,Tags,Main Role,Support Role,Url
739603,Twinkling Watermelon (2023), 16,"In 2023, Eun Gyeol is a CODA (Child of Deaf Adults) high-school student with hearing-impaired parents, but he has a passion for music. During the day, he is a studious model pupil... but at night, he rocks out as a guitarist in a band. But when he stumbles across a strange yet alluring music store, he goes hurtling back in time to 1995. 

Here, he comes face to face with his father,"," 9.2 (scored by 21,174 users)",, 1 hr. 10 min.,"Romance,Youth,Drama,Fantasy","TimeTravel,SignLanguage,ChildFromTheFuture,Father-SonRelationship,1990s,Music,ComingOfAge,Deafness,Comedy,Bromance","Ryeoun,Choi Hyun Wook,Seol In Ah,Shin Eun Soo,","Kim Joo Ryoung,Bong Jae Hyun,",https://mydramalist.com//739603-sparkling-watermelon
739603,Twinkling Watermelon (2023), 16,"In 2023, Eun Gyeol is a CODA (Child of Deaf Adults) high-school student with hearing-impaired parents, but he has a passion for music. During the day, he is a studious model pupil... but at night, he rocks out as a guitarist in a band. But when he stumbles across a strange yet alluring music store, he goes hurtling back in time to 1995. 

Here, he comes face to face with his father,"," 9.2 (scored by 21,174 users)",, 1 hr. 10 min.,"Romance,Youth,Drama,Fantasy","TimeTravel,SignLanguage,ChildFromTheFuture,Father-SonRelationship,1990s,Music,ComingOfAge,Deafness,Comedy,Bromance","Ryeoun,Choi Hyun Wook,Seol In Ah,Shin Eun Soo,","Kim Joo Ryoung,Bong Jae Hyun,",https://mydramalist.com/739603-sparkling-watermelon
49231,Move to Heaven (2021), 10,"Han Geu Roo is an autistic 20-year-old. He works for his father’s business “Move To Heaven,” a company that specializes in crime scene cleanup, where they also collect and arrange items left by deceased people, and deliver them to the bereaved family.

When Geu Roo's father dies, Geu Roo's guardianship passes to his uncle, ex-convict Cho Sang Gu, who is a martial arts fighter in underground matches. Per the father's will, Sang"," 9.1 (scored by 41,188 users)",, 52 min.,"Life,Drama","Uncle-NephewRelationship,Autism,Death,Tearjerker,Mourning,SavantSyndrome,LifeLesson,CleaningAndOrganizing,Asperger’sSyndrome,AutisticMaleLead","Lee Je Hoon,Tang Jun Sang,Hong Seung Hee,","Jung Suk Yong,Jung Young Joo,Lee Moon Shik,",https://mydramalist.com//49231-move-to-heaven
49231,Move to Heaven (2021), 10,"Han Geu Roo is an autistic 20-year-old. He works for his father’s business “Move To Heaven,” a company that specializes in crime scene cleanup, where they also collect and arrange items left by deceased people, and deliver them to the bereaved family.

When Geu Roo's father dies, Geu Roo's guardianship passes to his uncle, ex-convict Cho Sang Gu, who is a martial arts fighter in underground matches. Per the father's will, Sang"," 9.1 (scored by 41,188 users)",, 52 min.,"Life,Drama","Uncle-NephewRelationship,Autism,Death,Tearjerker,Mourning,SavantSyndrome,LifeLesson,CleaningAndOrganizing,Asperger’sSyndrome,AutisticMaleLead","Lee Je Hoon,Tang Jun Sang,Hong Seung Hee,","Jung Suk Yong,Jung Young Joo,Lee Moon Shik,",https://mydramalist.com/49231-move-to-heaven
25560,Moving (2023), 20,"Kim Bong Seok, Jang Hee Soo, and Lee Gang Hoon, seemingly typical high school students, bear extraordinary inherited powers. Bong Seok can fly, Hee Soo possesses exceptional athleticism and rapid injury recovery, and Gang Hoon wields uncanny strength and speed. As they conceal their gifts, their parents fight to shield them from exploitation by others, navigating a delicate balance between secrecy and protection.

(Source: MyDramaList)

~~ Adapted from the webtoon “Moving” (무빙)"," 9.1 (scored by 19,370 users)",, 47 min.,"Action,Thriller,Mystery,Supernatural","GraphicViolence,SupernaturalPower,StudentFemaleLead,StudentMaleLead,AgentFemaleLead,AgentMaleLead,FamilyRelationship,PastAndPresent,MultipleMains,HighSchool","Ryu Seung Ryong,Han Hyo Joo,Zo In Sung,Cha Tae Hyun,Ryu Seung Beom,Kim Sung Kyun,",,https://mydramalist.com//25560-moving
25560,Moving (2023), 20,"Kim Bong Seok, Jang Hee Soo, and Lee Gang Hoon, seemingly typical high school students, bear extraordinary inherited powers. Bong Seok can fly, Hee Soo possesses exceptional athleticism and rapid injury recovery, and Gang Hoon wields uncanny strength and speed. As they conceal their gifts, their parents fight to shield them from exploitation by others, navigating a delicate balance between secrecy and protection.

(Source: MyDramaList)

~~ Adapted from the webtoon “Moving” (무빙)"," 9.1 (scored by 19,370 users)",, 47 min.,"Action,Thriller,Mystery,Supernatural","GraphicViolence,SupernaturalPower,StudentFemaleLead,StudentMaleLead,AgentFemaleLead,AgentMaleLead,FamilyRelationship,PastAndPresent,MultipleMains,HighSchool","Ryu Seung Ryong,Han Hyo Joo,Zo In Sung,Cha Tae Hyun,Ryu Seung Beom,Kim Sung Kyun,",,https://mydramalist.com/25560-moving
702267,Weak Hero Class 1 (2022), 8,"Yeon Shi Eun is a model student who ranks at the top of his high school. Physically, Yeon Shi Eun appears weak, but by using his wits and psychology, he fights against the violence that takes place inside and outside of his school. 

(Source: Asianwiki)

~~ Adapted from the webtoon “Weak Hero” (약한영웅) written by SeoPass (서패스) and illustrated by Kim Jin Seok  (김진석). 
~~ Release dates: Oct 7, 2022 (Festival) ||"," 9.1 (scored by 31,505 users)",, 40 min.,"Action,Youth,Drama","Violence,Friendship,Bromance,SchoolBullying,HighSchool,SkilledFighter,AdaptedFromAWebtoon,Fight,Gang,SmartMaleLead","Park Ji Hoon,Choi Hyun Wook,Hong Kyung,Kim Su Gyeom,","Lee Yeon,Shin Seung Ho,",https://mydramalist.com//702267-weak-hero
702267,Weak Hero Class 1 (2022), 8,"Yeon Shi Eun is a model student who ranks at the top of his high school. Physically, Yeon Shi Eun appears weak, but by using his wits and psychology, he fights against the violence that takes place inside and outside of his school. 

(Source: Asianwiki)

~~ Adapted from the webtoon “Weak Hero” (약한영웅) written by SeoPass (서패스) and illustrated by Kim Jin Seok  (김진석). 
~~ Release dates: Oct 7, 2022 (Festival) ||"," 9.1 (scored by 31,505 users)",, 40 min.,"Action,Youth,Drama","Violence,Friendship,Bromance,SchoolBullying,HighSchool,SkilledFighter,AdaptedFromAWebtoon,Fight,Gang,SmartMaleLead","Park Ji Hoon,Choi Hyun Wook,Hong Kyung,Kim Su Gyeom,","Lee Yeon,Shin Seung Ho,",https://mydramalist.com/702267-weak-hero
57173,Hospital Playlist Season 2 (2021), 12,"Everyday is extraordinary for five doctors and their patients inside a hospital, where birth, death and everything in between coexist.

(Source: Netflix)"," 9.1 (scored by 27,212 users)",, 1 hr. 40 min.,"Romance,Life,Drama,Medical","MultipleMains,Band,Music,MultipleCouples,Comedy,Illness,StrongFemaleLead,Bromance,DivorcedMaleLead,LongDistanceRelationship","Jo Jung Suk,Yoo Yeon Seok,Jung Kyung Ho,Kim Dae Myung,Jeon Mi Do,","Shin Hyun Been,",https://mydramalist.com//57173-hospital-playlist-2
57173,Hospital Playlist Season 2 (2021), 12,"Everyday is extraordinary for five doctors and their patients inside a hospital, where birth, death and everything in between coexist.

(Source: Netflix)"," 9.1 (scored by 27,212 users)",, 1 hr. 40 min.,"Romance,Life,Drama,Medical","MultipleMains,Band,Music,MultipleCouples,Comedy,Illness,StrongFemaleLead,Bromance,DivorcedMaleLead,LongDistanceRelationship","Jo Jung Suk,Yoo Yeon Seok,Jung Kyung Ho,Kim Dae Myung,Jeon Mi Do,","Shin Hyun Been,",https://mydramalist.com/57173-hospital-playlist-2
